Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
Aditya Birla SL Equity Hybrid 95 Fund(G),Harshil Suvarnkar,7064.7,3.81,2078812,2078812 ,2078812,2078812
Nippon India Multi Asset Allocation Fund-Reg(G),Vinay Sharma,16000.2,1.67,2063054,1863054 ,1863054,2563054
ICICI Pru Dividend Yield Equity Fund(G),Mittul Kalawadia,6629.6,4.01,2056459,2056459 ,1761492,1538943
Nippon India Balanced Advantage Fund(G),Sushil Budhia,9796.3,2.64,2000000,2000000 ,1850000,1850000
Aditya Birla SL Nifty 50 ETF,Mehul Dama,3218.6,7.97,1982646,1933203 ,1903740,1891315
ICICI Pru Infrastructure Fund(G),Sanket Gaidhani,8549.7,3.00,1979725,1429725 ,1429725,1429725
Nippon India Value Fund(G),Dhrumil Shah,8962.4,2.77,1920396,1920396 ,1920396,1920396
Bandhan Large & Mid Cap Fund-Reg(G),Manish Gunwani,18783.2,1.26,1828302,2028302 ,2478302,2525107
Helios Flexi Cap Fund-Reg(G),Alok Bahl,7577.3,3.03,1777318,1777318 ,1777318,2240096
SBI Multi Asset Allocation Fund-Reg(G),Dinesh Balachandran,19354.2,1.15,1720000,1720000 ,1720000,1720000
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,9489.6,2.33,1709158,1709158 ,2049658,1754927
Bandhan Nifty 50 Index Fund-Reg(G),Abhishek Jain,2701.9,7.97,1664982,1640437 ,1628494,1468086
Sundaram Services Fund-Reg(G),Rohit Seksaria,4934.0,4.24,1616287,1616287 ,1616287,1532287
Axis Small Cap Fund-Reg(G),Tejas Sheth,29393.8,0.71,1604466,1604466 ,1604466,1604466
Motilal Oswal Large Cap Fund-Reg(G),Ajay Khandelwal,3189.1,6.49,1600000,1600000 ,1600000,1600000
Aditya Birla SL Value Fund-Reg(G),Kunal Sangoi,6603.1,3.12,1590407,1590407 ,1590407,1737530
Kotak Multi Asset Allocation Fund-Reg(G),Devender Singhal,14308.5,1.38,1527500,1527500 ,1527500,1527500
Axis India Manufacturing Fund-Reg(G),Nitin Arora,5377.7,3.67,1525604,1525604 ,1676973,1754377
Tata Multi Asset Allocation Fund-Reg(G),Rahul Singh (Tata),5154.5,3.81,1518852,1518852 ,1334352,1334352
Franklin India ELSS Tax Saver Fund(G),R. Janakiraman,6166.3,3.09,1472922,1472922 ,1472922,1472922
WOC Flexi Cap Fund-Reg(G),Ramesh Mantri,8582.4,2.20,1459453,1395055 ,1395055,1395055
Aditya Birla SL Conglomerate Fund-Reg(G),Harish krishnan,1628.3,11.50,1447593,1447593 ,1484725,1731854
Kotak Infra & Eco Reform Fund(G),Nalin Rasik Bhatt,2446.8,7.61,1440000,1440000 ,790000,790000
